종목명,변동성,회사명,종합등급_수치
토니모리,0.3505824456976023,토니모리,1.0
티에이치엔,0.1332979992174376,티에이치엔,1.0
티웨이항공,0.2268328230128585,티웨이항공,2.0
티웨이홀딩스,0.1824164593515822,티웨이홀딩스,0.4
파미셀,0.4538473735240436,파미셀,0.8
팜스코,0.3120870652513613,팜스코,2.8
팬오션,0.2039150471443702,팬오션,3.2
퍼스텍,0.3621772411983327,퍼스텍,0.6
퍼시스,0.1464551566752148,퍼시스,1.0
평화산업,0.2769203168363437,평화산업,1.2
평화홀딩스,0.1827355460408203,평화홀딩스,1.6
포스코인터내셔널,0.413052881271239,포스코인터내셔널,4.4
풀무원,0.182386082930178,풀무원,4.4
풍산,0.1654239503292407,풍산,2.8
풍산홀딩스,0.1085563167070636,풍산홀딩스,2.4
하나금융지주,0.1498833541288297,하나금융지주,4.0
하나제약,0.0800744117069151,하나제약,1.2
하나투어,0.187823641389448,하나투어,3.0
하이스틸,0.3136699391924999,하이스틸,1.4
하이트진로,0.1628428768697053,하이트진로,2.4
하이트진로홀딩스,0.1601787176419661,하이트진로홀딩스,2.6
한국가스공사,0.1629139079971215,한국가스공사,3.6
한국공항,0.1773076032893757,한국공항,2.2
한국금융지주,0.1394762028761584,한국금융지주,2.6
한국내화,0.1581410130106681,한국내화,1.6
한국쉘석유,0.0751891237865304,한국쉘석유,1.2
한국자산신탁,0.126933676436406,한국자산신탁,1.0
한국전자홀딩스,0.2026453801259349,한국전자홀딩스,0.6
한국종합기술,0.2299430762675644,한국종합기술,1.6
한국주강,0.3779379797837479,한국주강,0.2
한국철강,0.2049574113979435,한국철강,1.2
한국카본,0.1448019046239302,한국카본,1.8
한국콜마,0.1900387146470543,한국콜마,3.4
한국타이어앤테크놀로지,0.1523437685968095,한국타이어앤테크놀로지,2.2
한국토지신탁,0.0986621140588721,한국토지신탁,0.8
한국항공우주,0.1740193392427657,한국항공우주,3.2
한국화장품,0.2620671225527191,한국화장품,1.0
한국화장품제조,0.4100222442956398,한국화장품제조,0.4
한농화성,0.3740738869445646,한농화성,0.4
한독,0.182652382069217,한독,3.6
한미글로벌,0.2664943487014911,한미글로벌,3.2
한미반도체,0.4295054118152602,한미반도체,0.6
한미사이언스,0.3026736959587094,한미사이언스,3.0
한미약품,0.1383392833645456,한미약품,3.2
한샘,0.1673049887131177,한샘,3.8
한섬,0.1437086587358824,한섬,3.8
한세실업,0.1831084272146579,한세실업,2.4
한세엠케이,0.2289941176542159,한세엠케이,1.4
한세예스24홀딩스,0.133089665059448,한세예스24홀딩스,3.0
한솔로지스틱스,0.1860880637874442,한솔로지스틱스,2.8
한솔제지,0.1134021444788754,한솔제지,3.8
한솔케미칼,0.2344853243866408,한솔케미칼,3.2
한솔테크닉스,0.1309027356093212,한솔테크닉스,3.2
한솔홀딩스,0.0993901241397145,한솔홀딩스,4.0
한솔홈데코,0.2633706002464672,한솔홈데코,3.0
한신공영,0.1479160805984504,한신공영,0.4
한양증권,0.2048717317973408,한양증권,0.8
한온시스템,0.1454975797092654,한온시스템,2.6
한올바이오파마,0.2294657076237763,한올바이오파마,1.6
한익스프레스,0.1448092392888413,한익스프레스,0.6
한일시멘트,0.2772565687848227,한일시멘트,2.8
한일철강,0.194293442668975,한일철강,0.2
한일현대시멘트,0.1488302003930063,한일현대시멘트,3.2
한일홀딩스,0.2290737372570155,한일홀딩스,2.6
한전KPS,0.1629684002822987,한전KPS,3.4
한전산업,0.3445724351333161,한전산업,1.8
한진,0.2174027146694245,한진,3.4
한진중공업홀딩스,0.2049536324073599,한진중공업홀딩스,1.4
한진칼,0.1490285561119196,한진칼,3.8
한창제지,0.1437428279050514,한창제지,1.2
한화,0.1232981415177903,한화,3.6
한화생명,0.1827521890012298,한화생명,4.0
한화손해보험,0.1730213022939286,한화손해보험,3.8
한화솔루션,0.3492084926293156,한화솔루션,3.0
한화에어로스페이스,0.1812205923639061,한화에어로스페이스,3.8
한화투자증권,0.292737589290752,한화투자증권,3.4
해성디에스,0.2715166186813017,해성디에스,3.8
해태제과식품,0.1306489998381212,해태제과식품,1.0
핸즈코퍼레이션,0.1239876485148177,핸즈코퍼레이션,1.2
현대건설,0.1299315122029495,현대건설,4.0
현대글로비스,0.1648955496689416,현대글로비스,4.2
현대로템,0.1966505003224166,현대로템,4.0
현대리바트,0.2034123878271608,현대리바트,4.0
현대모비스,0.1027738010740754,현대모비스,4.0
현대백화점,0.1598300003549873,현대백화점,4.4
현대비앤지스틸,0.3756437382290358,현대비앤지스틸,2.6
현대약품,0.1529285491612655,현대약품,1.2
현대위아,0.191589792521146,현대위아,4.4
현대제철,0.1740380347405529,현대제철,3.6
현대차증권,0.1065197821244589,현대차증권,3.8
현대코퍼레이션홀딩스,0.0884249735485414,현대코퍼레이션홀딩스,2.4
현대해상,0.104142855622245,현대해상,3.8
현대홈쇼핑,0.1086992539044391,현대홈쇼핑,4.2
형지엘리트,0.2564400994539356,형지엘리트,0.4
혜인,0.2601979841582966,혜인,0.6
호전실업,0.1637419219159846,호전실업,0.8
호텔신라,0.1232323870649936,호텔신라,4.0
화승엔터프라이즈,0.1739393247385453,화승엔터프라이즈,3.0
화신,0.3171166552778354,화신,2.2
화인베스틸,0.1593774538464657,화인베스틸,0.8
화천기계,0.2256248173345102,화천기계,0.8
화천기공,0.086586310959928,화천기공,1.0
환인제약,0.0930797003233007,환인제약,1.8
황금에스티,0.0962785357933432,황금에스티,0.8
효성,0.1273772557950207,효성,3.6
효성티앤씨,0.438065608396701,효성티앤씨,4.0
효성화학,0.286394553840931,효성화학,4.2
후성,0.240213435316534,후성,2.2
휠라홀딩스,0.1562076649279137,휠라홀딩스,3.4
휴비스,0.2285962900367332,휴비스,3.4
휴스틸,0.2765427556260221,휴스틸,0.8
흥국화재,0.2122588242056517,흥국화재,2.8
