종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,연도,분기
CJ씨푸드,KOSPI,,3905,-10,-0.26,3880,3930,3880,63218,247060735,140309668565,35930773,2022,Q2
CJ씨푸드,KOSPI,,3200,-70,-2.14,3255,3285,3200,68562,221639360,114978473600,35930773,2022,Q3
CJ씨푸드,KOSPI,,2765,10,0.36,2770,2785,2755,44816,124074675,99348587345,35930773,2022,Q4
CJ씨푸드,KOSPI,,3400,-5,-0.15,3385,3440,3350,114308,387471240,122164628200,35930773,2023,Q1
CJ씨푸드,KOSPI,,3360,20,0.6,3345,3405,3295,237163,789956745,120727397280,35930773,2023,Q2
CJ씨푸드,KOSPI,,3325,-70,-2.06,3370,3400,3310,301526,1007197330,119469820225,35930773,2023,Q3
CJ씨푸드,KOSPI,,2870,15,0.53,2830,2905,2795,128916,368260010,103121318510,35930773,2023,Q4
CJ씨푸드,KOSPI,,2745,-15,-0.54,2760,2770,2735,96975,267092080,98629971885,35930773,2024,Q1
CJ씨푸드,KOSPI,,4570,-105,-2.25,4675,4930,4510,4736869,22284948195,164203632610,35930773,2024,Q2
CJ씨푸드,KOSPI,,3525,135,3.98,3440,3950,3385,3715953,13675258785,126655974825,35930773,2024,Q3
CJ씨푸드,KOSPI,,2835,-70,-2.41,2915,2930,2830,132694,379993660,101863741455,35930773,2024,Q4
CJ제일제당,KOSPI,,247000,3000,1.23,245500,250000,239500,56974,14060942000,3718383942000,15054186,2020,Q1
CJ제일제당,KOSPI,,299000,2000,0.67,295000,302000,295000,42750,12806660500,4501201614000,15054186,2020,Q2
CJ제일제당,KOSPI,,403500,-3500,-0.86,403500,409500,398500,59447,23943913000,6074364051000,15054186,2020,Q3
CJ제일제당,KOSPI,,362500,1000,0.28,365000,365000,361000,46676,16894175500,5457142425000,15054186,2020,Q4
CJ제일제당,KOSPI,,400000,-6500,-1.6,408000,411500,398000,77574,31249524500,6021674400000,15054186,2021,Q1
CJ제일제당,KOSPI,,485500,-3000,-0.61,489500,491000,476000,57895,27917892500,7308807303000,15054186,2021,Q2
CJ제일제당,KOSPI,,446500,-7000,-1.54,450500,453000,446000,29555,13243567500,6721694049000,15054186,2021,Q3
CJ제일제당,KOSPI,,350500,-3500,-0.99,356000,356000,344000,62052,21735434500,5276492193000,15054186,2021,Q4
CJ제일제당,KOSPI,,374500,-4000,-1.06,378000,379500,373500,21915,8235987000,5637792657000,15054186,2022,Q1
CJ제일제당,KOSPI,,397500,4000,1.02,404500,404500,392000,42394,16834952500,5984038935000,15054186,2022,Q2
CJ제일제당,KOSPI,,400500,-7000,-1.72,402000,405500,398000,38750,15540646000,6029201493000,15054186,2022,Q3
CJ제일제당,KOSPI,,390000,-5000,-1.27,395500,396500,390000,30081,11789217000,5871132540000,15054186,2022,Q4
CJ제일제당,KOSPI,,319500,-1500,-0.47,318500,321000,315500,54605,17371467500,4809812427000,15054186,2023,Q1
CJ제일제당,KOSPI,,315500,5500,1.77,311000,316000,311000,25643,8061197000,4749595683000,15054186,2023,Q2
CJ제일제당,KOSPI,,299500,500,0.17,297500,300500,295000,30178,9005687000,4508728707000,15054186,2023,Q3
CJ제일제당,KOSPI,,311500,2500,0.81,309000,320500,308500,22661,7090861000,4689378939000,15054186,2023,Q4
CJ제일제당,KOSPI,,293500,-6000,-2.0,300000,302000,293500,23089,6837485500,4418403591000,15054186,2024,Q1
CJ제일제당,KOSPI,,351500,2000,0.57,353500,356000,348500,33993,11962062000,5291546379000,15054186,2024,Q2
CJ제일제당,KOSPI,,322000,0,0.0,324000,325500,319000,20112,6474102500,4847447892000,15054186,2024,Q3
CJ제일제당,KOSPI,,263500,0,0.0,265500,266000,261000,34442,9092465000,3966778011000,15054186,2024,Q4
CS홀딩스,KOSPI,,52800,-500,-0.94,51200,53100,51200,228,11891100,60956649600,1154482,2020,Q1
CS홀딩스,KOSPI,,49900,200,0.4,49700,50000,49500,542,26942600,57608651800,1154482,2020,Q2
CS홀딩스,KOSPI,,56600,800,1.43,55800,56900,55800,2865,161235300,65343681200,1154482,2020,Q3
CS홀딩스,KOSPI,,56500,700,1.25,55900,56600,55300,1611,90277600,65228233000,1154482,2020,Q4
CS홀딩스,KOSPI,,58500,500,0.86,58000,59200,58000,7913,463638000,67537197000,1154482,2021,Q1
CS홀딩스,KOSPI,,75600,1000,1.34,74900,76000,74800,3064,231093400,87278839200,1154482,2021,Q2
CS홀딩스,KOSPI,,64500,-100,-0.15,64500,64600,63900,796,51200500,74464089000,1154482,2021,Q3
CS홀딩스,KOSPI,,60000,2500,4.35,56700,61000,55900,4220,246370200,69268920000,1154482,2021,Q4
CS홀딩스,KOSPI,,69500,200,0.29,68600,69600,67500,3818,262356200,80236499000,1154482,2022,Q1
CS홀딩스,KOSPI,,64700,-100,-0.15,65000,65000,64000,241,15566600,74694985400,1154482,2022,Q2
CS홀딩스,KOSPI,,70000,-2500,-3.45,72400,72400,69800,11991,844583600,80813740000,1154482,2022,Q3
CS홀딩스,KOSPI,,63000,200,0.32,63400,63400,62100,1356,84791300,72732366000,1154482,2022,Q4
CS홀딩스,KOSPI,,64800,700,1.09,64100,64900,64100,2071,133833100,74810433600,1154482,2023,Q1
CS홀딩스,KOSPI,,61400,-300,-0.49,61300,61500,60700,778,47569200,70885194800,1154482,2023,Q2
CS홀딩스,KOSPI,,57100,-700,-1.21,57700,57700,57000,732,41953600,65920922200,1154482,2023,Q3
CS홀딩스,KOSPI,,60000,100,0.17,59900,60000,59200,552,32921600,69268920000,1154482,2023,Q4
CS홀딩스,KOSPI,,65600,200,0.31,65400,65800,65100,846,55492600,75734019200,1154482,2024,Q1
CS홀딩스,KOSPI,,71000,1200,1.72,69900,71300,68600,1284,90331000,81968222000,1154482,2024,Q2
CS홀딩스,KOSPI,,67400,-100,-0.15,67500,67500,66700,633,42482800,77812086800,1154482,2024,Q3
CS홀딩스,KOSPI,,69400,-400,-0.57,69700,69800,66000,1074,73770700,80121050800,1154482,2024,Q4
