종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
기아,KOSPI,,85800,700,0.82,85500,86900,85300,1583907,136175209100,34780175172600,405363347
기업은행,KOSPI,,10450,150,1.46,10250,10450,10250,915141,9480871300,7777941134150,744300587
까뮤이앤씨,KOSPI,,2425,25,1.04,2395,2430,2380,203951,491139130,109494279000,45152280
깨끗한나라,KOSPI,,5340,40,0.75,5330,5370,5210,122093,646572970,198865300620,37240693
남광토건,KOSPI,,15200,0,0.0,15200,15300,15000,13901,210555000,149399295200,9828901
남선알미늄,KOSPI,,3980,255,6.85,3750,4085,3740,12641242,50173614540,438512778200,110179090
남성,KOSPI,,3365,-45,-1.32,3410,3450,3345,270096,915999935,121853918400,36212160
남양유업,KOSPI,,547000,-18000,-3.19,526000,570000,526000,19721,10754478000,393840000000,720000
남해화학,KOSPI,,10900,-50,-0.46,11000,11100,10800,603940,6621818650,541499388700,49678843
넥센,KOSPI,,5010,35,0.7,4970,5010,4930,22208,110201435,268255324770,53543977
넥센타이어,KOSPI,,8360,-20,-0.24,8360,8450,8300,119820,1004379490,816503451720,97667877
넷마블,KOSPI,,127500,-1500,-1.16,127500,129500,126500,153267,19608731000,10959071505000,85953502
노루페인트,KOSPI,,11250,0,0.0,11250,11400,11000,94809,1069606650,225000000000,20000000
노루홀딩스,KOSPI,,13700,0,0.0,13700,14100,13650,155852,2167405200,182088768700,13291151
녹십자,KOSPI,,383500,-1500,-0.39,380000,390000,375000,204134,77896545500,4481787323000,11686538
녹십자홀딩스,KOSPI,,33850,-800,-2.31,34100,34950,33500,233043,7927816900,1591904908500,47028210
농심,KOSPI,,302000,3500,1.17,299500,303500,298500,21187,6396666500,1836957884000,6082642
농심홀딩스,KOSPI,,76300,0,0.0,76800,76800,76100,943,72002500,353863377000,4637790
다스코,KOSPI,,5830,100,1.75,5730,5870,5390,98800,567334490,95029000000,16300000
다우기술,KOSPI,,26200,150,0.58,26050,26250,25900,90118,2349721300,1175505365400,44866617
다이나믹디자인,KOSPI,,602,9,1.52,588,606,588,709254,424360448,94879904630,157607815
대교,KOSPI,,4345,5,0.12,4350,4350,4310,55979,242615300,368033883250,84702850
대구백화점,KOSPI,,11200,-100,-0.88,11200,11500,11050,10068,113636250,121202043200,10821611
대덕,KOSPI,,7570,50,0.66,7510,7600,7470,127494,961562150,256548435500,33890150
대동,KOSPI,,11250,600,5.63,10650,11400,10600,610065,6787707800,266942362500,23728210
